995 987
595 117 -710
849 161 -184
870 687 -462
965 603 639
99 990 -212
4 25 -618
947 211 513
761 515 984
988 891 808
915 372 792
880 45 -347
324 71 -390
492 64 -144
306 434 47
396 308 540
533 606 199
501 393 593
450 340 -956
65 315 -109
359 288 631
917 716 -568
856 472 110
879 787 -590
112 558 -629
882 247 -860
126 333 932
520 428 -352
484 33 -99
13 510 11
856 218 694
486 844 70
343 685 857
438 236 -616
706 242 591
428 80 480
766 18 718
701 698 -594
115 600 361
990 209 490
815 781 536
168 767 -413
735 383 -371
905 206 -505
682 525 563
582 764 146
137 565 185
281 822 -120
915 853 -565
414 427 267
513 440 908
131 266 569
615 704 38
523 161 742
855 162 -520
973 331 -322
361 311 -683
307 496 226
250 109 74
900 231 -443
265 157 -697
516 8 724
702 804 -45
439 684 64
778 97 559
938 173 330
606 976 -762
761 760 708
283 931 669
881 118 -49
144 419 832
632 793 -793
454 795 -682
935 409 -456
775 2 -532
623 817 -79
150 967 -349
248 661 715
916 16 -362
989 917 842
928 880 -739
947 337 -818
230 235 585
96 911 -138
986 908 -106
796 831 -180
943 473 197
728 906 598
384 927 800
112 758 -961
167 609 617
395 113 -409
327 79 -58
484 993 -847
339 378 -45
677 77 -292
560 34 186
174 33 740
209 14 -723
327 312 468
324 653 852
228 607 577
878 902 248
892 479 301
221 584 -637
749 155 -801
918 517 29
903 6 443
127 660 -141
335 240 585
418 678 -534
806 79 726
540 343 823
876 985 -783
969 261 -453
244 479 -513
512 236 137
715 188 290
531 597 -306
784 371 737
375 6 186
99 173 -852
490 713 -950
832 619 417
769 880 512
150 57 -262
483 585 -414
118 693 -906
60 980 242
924 623 -629
97 851 512
700 90 -596
892 20 207
452 907 -815
797 467 -387
731 301 -73
344 752 -116
355 776 -174
407 743 -178
573 428 -594
245 697 -244
67 763 -829
80 462 152
188 92 -44
53 694 610
648 990 -929
409 188 766
461 790 -396
393 297 560
930 734 901
580 680 -221
627 596 -183
38 312 501
977 375 -650
872 436 -767
344 244 732
589 245 -201
21 48 -317
602 646 92
199 653 -43
9 644 613
353 606 -405
355 567 -525
477 841 1000
674 587 269
59 176 120
423 705 140
927 762 658
926 410 318
727 375 895
220 139 342
271 232 -808
391 590 551
185 364 416
482 149 -925
946 244 -100
741 872 -515
898 929 358
324 975 293
37 783 -991
225 678 947
389 523 95
222 961 -601
800 148 -549
110 268 958
766 340 -743
725 551 -866
764 482 -693
519 736 -223
620 554 862
573 324 275
838 172 -718
891 500 -752
411 72 -518
368 68 836
221 220 -230
966 282 228
378 507 -74
963 956 -628
940 911 -41
923 746 -290
816 351 135
619 730 77
941 4 -857
907 564 929
282 734 -409
589 438 -515
836 481 984
466 489 -473
857 48 -215
264 40 -703
801 372 774
477 290 -329
420 53 786
574 870 900
591 412 772
323 12 -35
240 306 -256
716 901 5
453 901 -860
964 737 837
192 108 107
525 281 211
624 796 -178
622 455 -416
851 158 -443
215 510 -144
89 792 954
247 715 -964
225 601 -105
49 834 531
554 627 -274
972 363 454
25 724 17
566 265 960
375 892 5
728 345 -645
111 869 -955
945 338 -608
607 323 398
887 954 -933
461 88 -830
792 874 786
864 409 -675
751 531 123
902 271 -34
397 732 675
486 730 391
867 593 607
689 819 -233
906 432 870
289 899 829
622 436 -834
413 612 -530
300 821 -813
359 993 713
876 468 -57
280 874 903
649 986 212
522 76 544
443 53 99
279 744 55
299 819 -241
101 754 -349
436 277 147
225 487 775
551 502 -368
146 238 -418
590 348 -779
116 51 585
167 309 -47
473 388 -418
607 587 153
574 827 19
330 8 504
18 725 451
622 563 999
406 826 -767
817 957 -852
884 846 -334
396 910 978
319 511 783
332 493 105
102 727 97
799 695 -474
657 287 957
155 201 -45
92 167 -535
507 630 612
805 522 824
531 807 535
981 303 248
930 628 -708
523 549 -801
527 90 -687
319 606 554
375 145 -954
450 760 -799
353 234 -478
985 143 -386
471 553 732
334 115 -940
76 40 -344
845 220 -400
63 273 -317
861 541 -762
751 815 327
55 229 674
719 851 -90
595 794 443
6 561 -878
931 651 -330
860 797 -458
12 669 -579
805 572 -169
190 365 -700
494 101 246
501 430 255
95 923 115
15 923 -856
863 229 693
532 935 -906
416 247 -127
477 446 -743
983 903 -599
862 650 889
467 191 704
397 354 261
832 219 -171
137 9 748
764 462 457
335 498 -256
841 399 -202
372 793 -441
109 764 563
196 83 -49
216 653 -94
883 432 675
88 251 -912
579 538 -639
848 852 525
711 829 628
299 662 697
452 726 -938
924 736 186
106 792 471
505 1 -507
989 728 -339
273 367 817
81 27 -257
686 749 81
301 177 259
940 387 -147
254 843 985
740 610 -275
458 784 -502
851 469 -216
993 814 809
493 833 777
270 907 -157
393 304 87
286 81 -632
251 804 -356
121 274 567
615 4 -186
612 335 207
856 402 686
235 155 -318
525 663 -739
881 75 816
667 377 619
620 32 -338
858 45 686
196 294 88
454 783 58
386 49 45
334 553 -608
545 866 -823
519 115 235
735 813 138
672 114 877
730 403 -417
793 814 -718
184 296 -77
82 229 694
10 25 639
399 919 -871
954 359 -371
726 249 -702
669 36 899
366 647 -252
885 570 -277
475 390 320
751 54 -927
102 994 -675
286 831 227
958 946 -460
94 880 920
923 522 -750
277 250 795
637 904 -45
96 465 -620
977 966 829
99 532 -518
535 228 455
576 22 808
107 162 616
63 429 443
17 131 591
577 169 661
154 924 521
41 336 -91
244 710 767
905 243 -438
93 130 125
906 469 -118
1 52 -919
759 231 735
480 511 -147
275 377 -763
854 533 -361
4 410 713
936 33 -2
739 418 -473
221 917 709
879 395 300
248 269 362
601 445 -983
104 693 -23
209 207 -163
661 628 661
77 42 106
624 678 -327
242 170 -993
253 331 665
321 701 -328
878 251 657
588 661 -88
139 40 -409
729 164 -829
325 675 384
935 863 459
511 849 -702
718 641 -198
532 568 -556
629 777 75
835 718 -171
831 340 -167
455 993 -85
469 799 969
14 751 -343
276 156 -440
606 167 -455
404 183 489
390 586 -227
109 220 610
457 401 -194
852 263 -546
281 417 -590
157 139 265
855 103 -282
450 130 365
706 910 -414
48 699 694
689 562 483
597 272 468
233 883 -474
744 532 228
820 195 -222
321 484 496
632 836 523
596 690 -836
674 913 521
195 286 66
903 569 -924
830 533 9
240 237 9
133 193 -770
342 764 183
544 316 -445
740 759 -459
204 594 -872
559 32 -203
30 314 -906
404 866 -269
287 83 -472
638 221 -647
419 686 -201
298 662 -563
769 368 -641
608 171 26
305 606 -789
7 625 333
791 711 -231
763 289 -820
606 351 -530
157 684 434
338 722 -335
917 24 -891
522 827 826
884 33 -896
264 128 29
482 487 -383
575 958 522
137 462 147
533 315 807
714 903 -93
886 204 47
371 875 776
832 717 -368
5 819 -518
577 660 199
552 63 971
30 634 -337
47 909 695
327 992 -519
547 246 -538
584 885 -127
204 341 -684
675 303 -297
445 98 237
869 989 977
651 166 -431
451 655 763
414 160 -340
983 189 -549
571 532 571
507 791 -686
346 916 -931
418 384 -164
383 791 -823
533 611 526
743 676 721
906 300 910
894 911 -842
917 435 190
218 610 571
980 417 277
904 743 779
658 158 751
66 60 68
72 299 150
426 66 -976
147 62 -540
193 450 -553
692 687 636
578 133 -121
894 564 992
333 192 717
53 529 -108
307 150 -359
588 60 -222
746 343 436
257 508 -893
239 59 -559
623 939 598
77 958 -2
611 648 839
845 730 125
481 441 -619
392 688 269
220 453 231
739 27 871
692 347 -197
752 855 -14
688 289 -231
729 142 -785
288 603 660
600 230 -923
578 222 -69
278 29 -241
281 258 496
571 254 -555
48 599 799
164 910 305
59 633 518
739 329 119
382 458 -152
205 249 288
79 870 -56
752 759 431
96 728 -128
456 806 -589
511 163 1
951 428 834
317 366 -322
282 394 414
388 822 -624
511 632 -397
150 575 -414
532 246 867
311 729 -828
99 292 948
682 208 57
121 444 397
806 484 -905
397 468 -149
412 33 -684
863 529 510
281 532 -803
56 308 330
727 78 -174
591 389 -728
641 990 -118
977 260 -565
938 420 96
217 264 277
546 952 93
46 104 -723
712 126 783
653 191 -632
152 567 -8
107 620 -675
76 761 -136
544 674 -358
547 309 635
428 968 -331
218 979 -928
57 422 -538
709 98 36
83 977 -419
49 951 -410
38 694 -555
941 222 -952
933 460 -507
175 353 -427
707 273 443
672 733 -465
932 84 -147
837 357 369
85 893 -993
231 351 228
966 500 932
469 647 71
329 83 208
830 439 -482
77 155 -233
460 861 482
90 738 -717
239 95 -157
107 178 -805
491 705 865
823 739 685
947 511 242
505 63 -706
76 486 -429
794 906 36
917 863 529
220 876 -817
18 295 -294
770 338 -597
100 147 289
883 406 419
702 459 418
979 292 59
511 660 662
834 593 140
443 711 781
175 230 -226
126 947 329
87 733 -882
282 648 702
264 253 -744
107 358 629
6 700 -846
400 71 -704
911 334 -386
667 731 626
206 968 246
130 517 199
786 736 -968
60 788 254
84 566 -193
785 827 826
888 182 -695
911 639 746
427 136 570
757 944 -327
247 398 -508
481 411 -718
447 339 -783
850 678 -38
316 19 -468
988 899 -617
470 313 642
542 640 246
600 933 -888
198 763 799
48 319 496
419 807 152
702 471 913
509 939 177
465 927 554
103 942 -347
410 835 -690
542 443 -855
634 295 -465
834 988 876
251 858 -494
839 231 13
214 36 432
547 501 730
260 352 -93
51 623 -534
880 270 971
844 903 -913
538 953 -643
469 254 354
14 717 -431
4 438 -372
323 577 399
72 930 21
827 130 -505
826 267 140
851 633 416
300 522 -525
429 841 840
466 421 600
404 236 736
607 365 244
24 794 163
488 797 413
849 337 470
934 625 -324
448 269 476
805 49 -514
286 986 -395
31 741 966
391 62 -734
131 351 -61
883 741 550
933 481 870
1 760 755
147 476 191
313 654 -54
217 324 -677
356 962 705
353 78 605
879 881 881
884 484 646
816 899 -499
46 686 -523
222 55 744
389 259 -631
234 136 780
42 336 570
57 787 -574
690 322 254
939 132 -658
598 956 348
888 783 -50
504 447 -567
500 275 152
493 236 695
313 289 786
890 848 372
667 685 603
166 203 -925
161 919 -977
243 913 629
988 144 -213
707 152 674
726 604 -981
862 12 -824
873 571 -476
297 449 -85
437 308 -198
960 4 774
458 822 -517
721 156 755
905 726 -650
414 905 -908
886 270 -886
399 551 -601
810 952 -267
720 200 780
27 395 641
70 991 -177
883 476 -84
635 181 -20
631 158 -509
390 910 -119
321 843 -466
302 773 -272
685 393 -520
58 329 -114
188 693 911
258 294 -517
949 597 -947
649 878 751
602 168 -793
253 797 866
710 900 -849
394 517 226
778 638 274
367 742 33
216 707 408
365 717 -800
160 305 231
438 943 -768
