20
979 894
491 485 -64
439 730 544
181 405 140
444 510 -399
743 161 -98
102 335 328
12 98 311
922 588 -216
3 51 174
775 721 589
911 331 -839
647 393 -502
79 491 445
85 918 407
315 893 500
935 761 -657
862 702 456
219 404 -654
845 126 -33
446 418 505
554 491 -719
641 833 557
690 95 859
892 950 -485
463 672 187
302 140 515
20 346 -680
803 945 -907
609 685 -925
949 259 -98
225 961 -999
170 556 201
53 221 523
562 253 -388
5 206 173
513 720 -74
636 440 464
473 396 880
949 364 412
321 869 -648
354 468 -964
735 711 99
93 941 804
654 130 67
608 958 358
644 266 55
473 733 581
383 880 171
569 409 -321
138 198 -321
523 137 -550
839 907 -711
823 337 -694
679 337 -157
301 896 595
621 792 -17
497 905 73
676 196 64
39 823 -556
749 587 984
570 108 -466
45 910 508
367 24 351
380 428 965
617 388 445
649 387 -469
979 716 574
635 219 337
4 134 -122
267 489 -41
659 364 -762
150 953 -556
654 703 388
479 147 -118
316 75 -645
500 737 -602
487 645 176
221 772 -929
432 718 -170
425 247 306
498 599 247
748 99 360
930 289 802
266 466 6
722 830 716
553 528 755
329 935 -410
438 848 -151
232 892 -869
581 115 -636
181 58 -48
260 72 -662
319 380 887
575 112 -289
163 652 -715
569 253 600
879 186 468
280 905 277
646 439 -729
769 71 553
713 536 -499
137 681 -153
893 514 829
30 333 869
210 605 299
302 13 -814
850 872 -422
631 799 76
452 147 -924
405 46 -687
441 621 14
875 344 511
438 734 919
271 394 -363
705 150 -690
669 74 -636
669 726 -10
354 406 29
215 226 886
166 219 765
431 603 -370
621 288 -4
136 202 -770
568 890 -373
750 354 -996
407 309 -243
831 347 380
127 281 -669
681 471 -452
442 841 -328
824 442 116
412 791 353
230 307 902
288 434 380
75 517 359
695 774 -711
305 363 837
46 714 215
487 638 950
847 586 670
601 829 -925
296 731 -922
638 530 594
507 328 644
345 598 -154
384 137 439
468 943 -977
547 585 -682
297 823 763
630 363 -753
390 361 914
929 451 602
527 258 801
569 671 791
139 616 696
160 702 689
368 261 -377
20 818 -633
421 320 -456
234 276 548
614 526 815
733 884 -368
353 667 -594
236 460 -457
941 63 -820
827 531 -220
859 795 566
563 519 -304
20 324 -932
303 547 -787
293 269 870
615 131 -533
916 669 -939
558 273 -23
754 912 991
315 476 954
548 361 512
796 931 -664
786 481 966
383 682 -338
554 772 -319
361 545 182
274 975 -827
92 588 320
428 583 -344
156 582 -768
903 863 367
165 707 278
621 424 -891
541 376 215
871 402 -970
526 577 -755
720 180 -672
204 328 -847
644 410 -131
685 583 -56
685 800 915
431 479 829
478 389 982
456 827 445
810 765 261
844 778 -767
837 906 -226
470 388 495
230 606 -717
607 8 -389
238 852 -640
847 761 -168
602 961 -708
719 347 384
191 13 -248
425 785 748
900 463 30
133 303 658
713 493 -177
473 861 157
321 945 462
931 355 -332
426 828 -431
329 334 -454
72 768 996
879 806 -101
298 595 579
766 30 337
820 246 99
832 622 -34
170 389 256
896 84 -8
692 964 -944
845 522 -152
488 534 996
474 533 -725
135 501 823
622 919 747
738 588 -65
884 847 618
914 211 -55
958 407 -754
485 140 -734
27 941 -884
34 7 668
520 391 93
741 278 -604
44 161 735
852 369 901
653 937 509
589 587 940
864 194 -156
551 107 -996
472 397 286
396 682 -68
50 751 -129
532 323 570
236 189 -9
257 682 536
739 397 -131
411 764 694
369 218 209
245 174 -448
826 47 453
38 468 -695
489 163 280
949 487 -207
755 248 -892
486 180 -876
804 972 17
933 18 -880
153 690 -96
880 61 -646
150 712 -652
689 405 -351
978 891 812
233 644 -495
498 707 -281
586 764 443
702 589 -66
925 659 756
507 647 -703
36 166 813
601 428 -835
330 583 -787
503 82 377
612 940 -453
521 961 -672
69 576 -315
242 481 367
461 832 -966
696 488 187
836 963 42
858 331 383
136 957 998
39 493 -434
891 167 811
271 32 -496
657 863 648
347 683 803
130 722 -836
917 576 275
215 643 566
50 346 -466
937 965 721
383 87 -974
8 588 -633
288 573 -683
950 878 869
184 898 -602
739 432 670
33 350 -995
293 334 -857
528 694 131
565 499 827
56 939 917
861 898 -806
250 764 625
873 98 -629
148 935 -21
845 429 529
454 954 384
861 842 568
570 310 -585
447 9 886
416 147 -1000
447 436 -295
843 10 -30
314 627 -457
496 820 497
566 5 -240
918 12 -307
83 547 151
397 966 85
826 661 352
695 286 -575
587 384 -398
277 452 -522
909 3 464
585 225 -383
679 853 -299
709 399 -954
152 245 284
648 609 207
563 579 311
225 847 -882
786 335 -789
863 222 547
390 590 590
255 306 -184
681 207 935
700 848 39
720 957 599
444 618 644
248 740 -133
387 631 770
461 698 177
529 845 -423
908 685 555
747 245 -474
839 388 -324
279 180 -659
407 883 367
316 362 293
504 856 -608
283 484 368
817 663 610
776 543 996
42 877 -292
249 865 -599
213 804 796
845 27 -142
487 347 -531
278 468 -176
885 169 886
226 629 -262
2 227 699
104 868 -35
120 260 -897
540 370 -799
522 768 -76
902 561 -206
962 376 467
762 569 746
413 386 423
785 910 -650
763 529 782
405 459 -933
924 452 -686
423 439 522
153 436 513
385 9 -838
780 946 136
811 130 -506
609 205 -874
79 321 -736
543 113 421
281 237 -112
443 427 938
490 548 -60
324 17 840
45 659 273
186 492 511
39 462 -225
735 789 539
103 830 176
181 770 203
62 934 -212
339 792 704
836 682 -636
73 606 890
288 93 434
485 372 -494
822 29 445
456 716 988
93 94 878
366 793 992
613 796 -901
806 334 -770
841 473 830
852 241 72
96 957 -387
254 609 -140
718 205 710
780 211 -916
85 65 -395
927 921 -25
115 227 527
137 15 864
725 546 502
227 610 891
224 38 -303
811 724 250
159 975 -607
272 728 -468
145 329 567
726 138 402
947 211 -433
717 236 -322
307 725 -622
705 967 753
139 460 712
976 869 785
951 63 757
544 557 -687
797 358 -262
173 314 -778
592 727 -803
553 703 -447
404 617 -716
979 79 784
190 754 -117
74 363 123
819 701 270
356 580 -348
123 936 86
546 71 -365
915 108 229
963 515 -431
517 424 -16
176 539 871
72 819 -591
570 973 -896
722 259 -835
977 748 -967
306 830 911
920 397 -985
665 719 -747
217 838 896
834 284 -528
198 621 -661
517 269 527
361 756 -245
810 200 283
804 819 518
89 839 552
207 616 -961
493 114 532
494 7 -574
781 97 -151
168 356 -104
914 413 -676
494 676 151
399 904 667
416 542 -195
642 110 315
267 210 663
452 945 -682
250 696 -830
355 121 -151
671 860 -691
838 848 341
323 116 -297
541 803 -544
234 658 635
924 509 959
864 33 -75
647 530 122
910 644 380
498 94 188
849 346 -486
571 56 -808
747 764 383
360 892 -515
944 939 -256
630 877 -337
923 142 -250
715 199 -132
120 231 475
184 89 -916
93 317 300
674 681 -641
806 167 491
815 369 603
782 212 989
797 59 343
127 106 613
212 249 -722
188 206 670
131 535 18
488 807 -937
364 384 400
942 571 799
793 143 -655
544 317 -849
224 104 206
513 826 -419
549 28 -299
949 68 395
40 791 808
213 168 93
526 483 -304
750 154 432
538 759 686
536 678 831
282 696 236
150 307 83
657 830 370
902 589 91
270 232 306
331 800 -662
681 82 -215
280 625 -962
554 730 622
14 112 941
338 407 304
652 888 770
176 872 -608
846 475 -482
767 917 -702
748 552 376
263 402 -404
661 525 823
911 722 163
231 269 227
445 690 -705
418 802 -227
822 371 -32
831 74 165
192 830 284
383 260 48
16 900 231
80 508 437
818 587 446
89 689 -951
66 439 770
159 511 499
870 401 321
546 154 773
872 434 104
190 182 116
465 291 -935
851 714 943
657 426 593
455 669 -579
585 302 -343
183 734 -888
254 303 276
578 536 771
469 745 -832
479 524 822
956 284 938
62 15 -401
514 14 725
420 184 333
673 774 935
909 724 880
444 964 659
651 346 -588
740 62 -348
810 100 -685
324 474 274
603 78 520
843 757 -786
597 556 886
182 280 745
516 48 -322
564 843 -925
758 29 884
262 891 213
317 877 -819
940 321 468
64 164 500
468 130 670
228 527 -344
411 958 -959
413 114 574
920 701 169
442 932 -728
252 182 -63
339 953 -488
884 836 -775
875 248 573
926 901 -853
67 835 -53
408 918 210
862 796 -909
318 719 141
469 229 -194
289 694 -54
201 533 45
305 25 -205
830 935 -61
280 398 35
215 516 429
675 733 978
973 346 -956
242 502 -775
567 80 -471
596 808 -774
228 383 241
106 117 -263
448 898 158
114 231 374
572 59 69
429 381 871
49 189 541
417 618 285
936 142 -608
428 429 457
857 824 -547
690 879 14
781 873 736
726 105 -363
530 371 852
955 336 935
811 488 829
554 733 -945
831 201 105
265 616 -663
185 762 -473
787 896 -996
599 829 -288
128 848 135
310 56 819
887 148 109
813 214 107
545 114 435
16 323 -959
94 684 811
758 420 -608
425 336 38
935 726 -655
923 942
434 155 -5
144 286 -340
198 606 -805
871 540 -931
612 479 -294
405 98 -781
501 382 -986
510 848 704
642 130 260
202 231 -264
604 239 751
808 238 601
577 611 16
139 489 874
421 750 -732
131 846 -377
363 859 -437
157 656 -772
545 822 -542
190 173 -718
915 415 860
189 254 -474
668 71 690
766 393 -674
868 773 811
168 111 748
193 374 193
364 185 787
883 117 -46
50 308 -175
165 158 -633
348 580 -838
749 854 -420
255 421 -911
502 183 -526
570 13 -752
26 334 -554
345 501 -966
855 725 851
360 689 -46
718 118 -175
387 863 397
238 855 -313
597 243 235
254 20 -893
424 165 -60
452 27 -778
718 554 478
507 316 -827
159 709 757
81 324 911
125 571 -372
617 857 991
334 592 6
497 668 -760
433 384 671
541 784 146
262 372 -692
195 392 602
447 797 -194
86 362 -264
360 236 846
277 662 353
544 361 -975
373 277 -359
617 805 382
318 315 -269
629 216 841
707 337 521
658 305 953
269 873 -6
696 351 899
12 804 131
512 409 -183
399 112 563
812 247 814
29 475 415
508 379 286
552 908 -192
392 526 -533
887 765 -94
807 906 -476
515 742 473
289 528 851
141 148 491
869 551 87
513 412 -903
551 77 -622
246 190 -605
384 824 323
918 351 547
189 909 -948
606 535 896
676 319 345
506 505 -799
358 546 946
444 697 103
553 717 343
24 33 598
564 684 927
492 518 63
747 80 885
84 64 -521
320 807 780
194 695 -51
282 249 -366
727 94 -367
752 382 -588
150 415 -273
432 145 -699
789 493 -782
164 510 -727
902 122 108
265 137 -922
708 1 -133
841 562 379
162 494 514
153 676 -165
221 285 -383
638 234 -709
536 210 -720
28 661 924
834 95 70
222 84 -728
804 152 633
553 240 172
537 529 -972
734 524 462
764 648 425
426 839 -271
150 316 670
126 87 573
418 171 212
374 530 -269
664 40 470
885 530 -932
165 799 -477
809 860 519
1 110 194
79 824 -39
704 668 -502
348 460 94
194 885 -555
197 288 674
27 463 642
310 634 657
531 767 616
492 630 519
664 903 814
211 620 -493
118 11 781
842 536 237
121 687 -708
810 491 114
388 580 837
472 911 -337
121 454 316
869 576 -757
518 33 931
767 609 852
268 564 416
51 163 756
596 42 -434
716 697 -948
64 789 -598
205 564 615
26 239 -13
7 739 847
287 604 648
237 767 -495
41 566 184
655 72 35
237 315 -738
845 187 -994
683 82 378
170 619 617
400 147 457
149 623 -163
802 763 -91
624 408 532
279 705 93
753 310 485
875 465 925
715 177 7
245 724 -520
626 404 -762
279 237 847
81 882 988
287 68 -69
123 179 544
192 358 -758
391 47 139
875 363 253
156 403 -993
125 314 938
588 118 -223
3 592 -769
660 813 -468
162 240 294
247 462 -894
366 769 -747
906 881 623
658 914 417
920 664 -86
627 99 -72
133 603 -372
385 99 89
262 272 765
802 463 556
466 76 -192
650 598 919
649 537 -810
609 460 -350
744 184 -560
233 338 837
290 612 -304
64 294 635
902 125 180
116 228 560
878 510 838
567 833 -33
771 8 -13
609 558 46
416 537 96
891 346 501
664 38 -883
108 543 -528
175 553 418
675 784 623
3 286 -124
192 197 884
835 574 968
537 723 827
769 95 312
98 833 -980
255 827 -118
585 588 210
890 109 -186
203 423 -66
658 250 249
183 514 703
521 897 -754
215 415 -121
234 836 892
571 324 -344
356 95 -623
238 376 464
782 629 -351
158 656 435
292 857 -112
701 594 -49
308 745 163
820 392 -531
107 593 887
509 606 -124
634 599 -201
519 448 -232
227 635 -8
901 35 667
195 325 -966
103 398 -59
920 83 654
157 271 908
161 694 -355
147 27 545
534 852 320
739 794 417
912 55 -532
461 365 -860
678 586 -445
572 172 -632
870 655 -434
855 734 -28
197 377 -375
218 16 825
326 36 -941
849 857 -181
221 40 254
332 791 153
915 770 -924
411 232 -611
37 724 663
531 717 935
659 645 -110
448 181 -153
339 740 476
111 11 489
312 278 -434
209 499 725
263 261 254
443 702 470
889 112 -242
833 775 -392
867 165 -846
339 740 107
574 386 -151
289 522 -771
921 845 702
582 650 -855
454 32 987
312 354 -618
430 789 -349
844 477 -660
114 665 -356
46 884 -572
73 571 335
664 172 980
692 740 -590
404 179 107
561 546 -150
580 537 37
639 132 -89
795 356 -23
284 35 146
81 5 526
682 198 441
548 288 171
39 210 350
428 410 -920
275 439 17
809 614 -836
240 580 -544
760 187 -913
360 813 -324
308 311 5
809 186 59
679 395 -70
707 917 -379
268 863 831
185 389 -367
474 201 197
690 896 991
606 320 811
342 323 63
323 136 901
309 154 -183
866 427 -312
547 9 660
677 308 724
808 922 -147
730 668 -88
790 88 479
510 814 -702
397 255 949
140 483 511
652 115 960
459 17 -127
8 860 63
466 533 -344
835 92 924
219 132 -437
660 212 698
364 332 -331
680 337 -56
274 657 -790
847 105 -103
565 684 -730
787 139 -725
889 791 209
111 263 -904
655 765 -462
375 378 -495
328 914 -225
557 670 3
477 914 -730
90 585 -608
845 76 -403
902 560 -865
630 69 195
48 337 83
226 378 922
408 766 893
71 394 482
78 28 598
275 457 549
856 705 202
885 64 -575
311 231 904
552 272 -955
841 537 -40
283 781 -292
915 314 493
1 609 177
785 557 -655
131 874 499
222 134 -562
872 521 950
483 286 854
233 276 -87
318 352 933
440 778 990
693 376 -288
539 242 545
782 709 151
593 450 -185
278 271 -270
598 810 612
545 209 -293
478 437 729
785 229 -274
631 336 573
561 430 -308
818 130 635
890 827 197
204 24 324
718 243 389
250 2 111
180 67 -793
584 775 872
740 691 -135
276 158 833
576 646 822
376 646 -699
32 642 -386
600 247 -552
157 748 305
163 548 -866
66 719 193
99 725 -133
377 136 105
266 826 -51
196 305 303
226 669 459
922 738 285
132 146 -151
326 682 -473
876 663 417
277 662 -67
666 720 -683
642 344 187
181 577 -999
818 315 -530
704 483 -885
860 251 340
503 454 -301
158 116 770
807 753 405
819 786 556
785 488 826
130 253 -883
696 647 542
563 442 -536
540 841 -22
910 464 -612
668 615 608
525 90 -583
64 736 403
304 510 -264
258 901 826
62 211 -121
708 745 -257
479 243 564
624 584 -217
253 331 -370
679 538 285
476 517 506
121 26 -145
484 626 -352
200 602 867
824 329 201
801 665 -4
740 570 -596
467 432 -704
71 81 612
582 817 -503
89 96 -968
165 272 46
180 99 -423
658 515 568
80 768 -84
22 488 168
890 101 -843
76 681 687
628 352 194
728 44 918
558 389 -974
820 854 -436
818 25 484
277 436 -277
462 841 122
130 19 -133
688 630 634
895 289 624
87 601 41
261 140 389
319 593 -8
622 410 821
158 533 -431
733 406 -483
877 611 295
152 578 696
271 699 -373
112 258 -712
372 301 -146
896 127 395
919 708 -292
29 614 -957
77 767 -171
838 435 111
718 180 -789
189 281 -636
446 381 -200
147 657 -841
341 193 673
179 174 -18
282 173 -630
43 73 -653
103 888 866
336 417 -703
93 905 763
770 893 -66
280 754 -905
344 501 -187
292 587 -600
519 514 -486
879 384 646
600 867 -126
134 55 -133
23 275 -146
511 310 -140
6 15 481
405 293 525
206 70 -910
359 203 425
851 849 57
43 534 931
855 58 -252
770 7 -639
346 834 -739
688 667 524
258 670 -54
375 28 721
109 489 493
632 906 20
415 487 410
74 272 754
65 722 -863
139 333 -12
607 201 -731
251 835 -548
29 199 265
116 117 24
298 828 -30
505 327 -377
319 231 737
261 336 116
648 879 -183
295 343 -70
348 661 974
13 918 423
405 413 -924
166 144 994
732 714 519
618 12 864
517 340 466
256 563 68
915 84 -592
311 349 579
256 619 -968
884 398 -659
450 555 -421
8 98 777
528 822 -426
236 325 906
653 305 301
94 833 -900
664 312 498
650 317 419
66 406 -451
423 397 567
55 777 -128
331 225 682
15 740 -926
638 867 967
367 752 151
580 793 -678
200 251 -139
665 760 454
417 850 331
37 339 -500
579 250 -994
516 143 759
2 134 -834
760 521 291
232 301 -673
243 847 293
450 783 603
657 193 -222
255 392 -580
80 33 -716
835 450 979
219 357 755
905 866 246
457 886 441
616 198 -642
827 750 769
250 25 409
796 265 -111
304 251 925
262 516 -656
174 779 -997
896 712 -715
536 319 405
721 63 -415
575 691 252
169 871 -428
628 701 141
211 302 674
64 858 -430
423 294 -53
29 630 368
869 561 147
330 666 307
806 838 -833
918 865 246
521 27 -882
508 341 79
83 491 -454
2 566 989
366 280 993
709 761 299
220 69 -619
460 65 360
118 853 743
474 462 919
508 603 232
558 222 -744
481 745 -962
66 87 413
828 632 -511
239 685 809
449 435 -451
596 114 -189
322 715 -53
166 648 357
475 838 -155
759 106 295
497 250 -551
716 142 321
45 736 -74
242 53 53
550 196 -967
414 191 -894
160 23 520
921 638 -992
853 335 -762
49 113 170
30 107 -354
717 668 447
332 236 379
700 314 -642
560 660 585
147 913 -202
299 338 -774
605 756 292
821 350 -404
309 44 742
86 782 811
743 669 -23
750 781 -308
758 729 -882
428 578 215
495 159 -584
751 219 850
281 125 -522
578 592 109
741 449 185
817 863 216
870 167 142
688 868 152
279 449 123
215 394 -92
124 912 -30
851 300 -889
340 426 -799
517 543 361
88 34 -553
857 890 -912
210 754 -327
680 535 -60
750 258 -225
314 807 -745
154 242 -35
671 752 -553
250 267 390
906 663 -511
654 698 -753
290 427 -629
481 469 368
761 296 -45
531 652 -629
916 115 936
291 94 -101
740 204 -161
737 8 916
921 422 841
420 792 815
263 526 -283
132 293 122
174 496 432
900 304 -724
617 390 771
533 304 -172
211 908 -672
366 493 -307
707 411 -365
49 453 108
407 2 497
336 132 -385
551 401 -786
476 87 -781
856 369 -785
99 190 -512
876 263 351
434 318 -340
749 222 -237
427 830 -352
375 765 178
849 505 -726
649 292 -122
505 621 -918
774 35 -748
430 791 386
536 59 307
871 387 -995
644 6 478
794 32 89
595 469 -84
66 620 743
376 446 -266
141 325 254
34 605 -516
617 762 -649
913 679 214
657 565 783
386 131 499
736 412 989
766 746 -974
35 808 710
420 341 -383
261 58 -388
602 700 545
583 486 -175
480 100 -119
196 24 -782
918 693 142
458 487 -233
806 444 -944
586 725 782
150 43 -415
604 16 929
165 333 -437
861 237 -56
54 231 -532
516 889 731
342 726 -2
379 75 338
413 93 585
658 816 304
469 547 609
578 857 -977
307 845 565
111 622 159
128 476 -976
87 326 272
646 373 607
575 88 327
13 503 -911
216 193 77
879 509 402
421 109 -885
475 118 983
758 400 -346
538 505 816
316 96 -489
908 693 -599
835 783 -910
900 908 497
492 29 -707
187 761 869
606 398 270
425 601 888
454 756 509
891 302 925
82 434 -132
8 832 227
844 523 42
117 531 -992
707 411 872
446 332 -64
504 379 -306
769 854 670
620 204 314
735 233 -406
85 907 -349
727 880 -637
195 624 -659
161 285 -687
118 6 153
132 367 -301
438 604 725
107 563 -930
642 171 810
241 127 991
721 640 291
871 429 -114
923 410 -529
767 621 986
706 421 -403
90 713 -464
503 141 -662
693 15 -643
920 218 -926
189 426 434
212 265 -1
883 770 677
659 645 -198
600 502 -192
383 786 -178
759 150 561
61 1 -805
852 33 -896
833 248 137
674 311 -790
285 389 -128
285 859 804
673 698 -354
78 809 -394
254 281 947
887 252 858
520 414 -276
233 253 -81
816 534 828
72 703 591
714 137 -767
827 905 -887
52 716 778
722 542 642
93 274 883
442 148 756
509 671 -740
800 453 -403
121 463 -909
484 847 -363
450 471 830
717 64 -733
150 10 363
584 853 -710
380 608 999
188 761 -681
127 684 -94
581 145 -198
789 855 921
197 743 -693
918 148 600
873 835 541
111 316 369
540 101 -248
730 771 -127
411 254 988
710 664 -839
518 422 360
777 747 945
69 672 706
639 341 -686
576 208 -722
455 823 -359
169 663 612
48 683 748
790 255 259
288 835 -634
437 201 390
887 387 -836
776 245 -692
317 138 -942
308 137 673
713 262 999
60 89 244
184 552 -282
196 921 180
899 7 680
206 678 953
365 177 509
686 520 366
544 843 -708
328 176 -557
668 914 426
107 444 -994
529 598 -515
809 766 772
166 129 997
185 253 313
31 523 861
794 287 15
840 710 347
464 120 -6
369 255 -225
695 374 -485
34 895 840
789 456 -735
510 762 -931
547 616 -238
694 357 -41
407 307 122
654 796 940
640 597 931
447 747 -821
594 877 -699
761 60 -720
534 910 678
275 639 80
201 775 -622
114 706 -264
807 430 -704
145 571 -204
223 411 -209
839 495 -88
347 473 -929
266 793 -135
615 826 472
875 590 -893
691 532 901
315 154 -4
648 33 -433
332 762 -992
637 457 -539
135 475 114
675 495 883
872 571 879
26 364 -528
756 364 -794
823 593 675
746 86 162
69 156 830
231 498 -610
45 709 925
859 105 851
489 390 631
591 658 588
144 920 -383
612 327 -307
568 116 1000
865 799
347 430 0
838 546 348
561 317 103
815 309 86
150 428 -171
379 179 286
113 56 -420
88 696 -613
174 833 728
380 35 149
621 384 174
813 634 -735
206 825 -506
448 50 -576
174 364 903
646 442 604
541 586 486
247 627 -541
493 31 -86
540 668 -989
388 121 -924
110 629 489
333 88 11
345 185 834
791 779 -379
579 143 -493
309 512 431
715 544 850
578 276 -712
52 84 -297
748 118 -401
82 343 900
684 598 473
205 835 -342
133 721 35
794 563 925
546 560 426
817 752 -288
50 791 -299
27 808 -115
743 321 -519
113 380 1
294 563 573
450 206 590
284 291 323
355 466 -528
523 495 -903
547 629 -976
642 439 -297
276 740 706
325 855 -172
55 731 271
577 478 -438
431 675 304
82 582 582
785 429 216
518 187 411
780 485 670
321 553 -797
67 518 -111
97 544 63
136 530 -64
601 656 329
546 374 88
197 833 272
31 640 -633
608 552 -874
35 170 280
418 608 -565
26 326 -619
523 817 -340
148 775 795
492 726 -467
791 700 526
385 242 -531
442 573 -874
671 356 -374
729 823 -187
35 481 326
431 345 -547
831 211 -719
578 302 -750
752 515 152
203 674 688
481 82 326
789 648 -282
19 655 790
527 339 219
429 36 671
47 405 -9
581 684 -941
351 148 -547
53 93 132
740 853 -542
464 64 942
545 69 -963
580 421 883
111 424 822
304 829 795
862 841 -34
723 419 694
790 4 -898
424 372 -87
539 830 -18
437 785 -269
483 560 397
305 257 531
853 43 582
111 715 150
47 192 237
130 271 -109
595 297 799
610 92 -817
659 448 319
630 155 9
297 94 -201
681 176 117
747 729 -962
83 836 34
835 64 -787
3 304 -428
200 242 -266
798 841 502
369 792 323
224 327 486
687 455 -706
513 149 -368
755 751 -801
468 381 17
352 546 542
311 207 -277
22 787 -642
837 796 818
58 490 575
167 224 -681
177 579 880
399 442 -969
432 579 -583
449 298 155
639 329 -432
1 44 -764
803 474 -694
577 116 187
430 1 286
441 382 47
428 65 438
462 826 -778
188 121 141
219 54 -915
652 783 -250
452 182 -372
561 273 171
795 811 664
2 731 196
160 542 -277
697 567 -97
270 58 947
548 667 155
190 231 198
406 312 -328
498 354 341
408 697 100
549 537 174
401 74 -906
294 621 -556
538 732 -375
348 153 -77
338 426 -307
680 776 763
471 96 -877
712 492 -339
194 257 181
728 506 107
712 631 -597
831 688 519
594 227 -177
504 501 -798
35 542 -984
528 355 -438
179 766 980
484 501 638
46 452 -208
612 845 -933
670 21 796
201 608 -573
22 315 -232
473 712 579
715 656 -396
804 752 -215
136 791 734
420 825 995
573 486 917
105 241 49
201 368 -667
225 683 954
186 579 -691
627 509 379
531 288 718
814 779 493
818 208 -66
239 177 409
637 91 523
80 419 617
477 465 479
574 633 211
652 193 834
694 753 -433
229 622 -268
750 527 950
253 609 -171
18 725 294
379 4 816
608 849 -212
506 21 495
22 105 187
366 747 479
393 712 -10
731 274 -608
615 153 -462
49 65 -488
675 390 379
296 550 295
343 353 937
515 440 -833
496 599 939
269 452 -293
233 726 -62
409 172 -109
29 18 -869
259 231 -992
570 403 344
719 272 119
816 12 66
743 184 818
780 687 -889
613 181 -241
831 517 69
775 419 485
824 541 282
229 43 -570
99 95 -241
430 298 -553
348 267 53
779 59 -496
180 404 -861
819 823 -431
813 191 -445
234 193 869
19 301 769
826 344 -708
865 97 -666
493 134 94
179 467 -945
143 249 -327
519 63 -808
234 460 105
136 343 69
253 314 -818
351 98 39
768 731 -641
689 613 816
817 308 28
412 92 -355
191 170 -627
414 514 -146
146 508 156
408 43 382
685 838 -557
432 580 610
147 139 -699
390 545 -967
724 571 851
620 38 413
747 498 907
122 837 745
526 238 -8
584 37 210
590 382 550
47 469 813
567 788 -228
648 163 725
686 289 -68
772 67 780
661 142 502
355 827 95
445 434 -569
716 809 646
415 65 250
394 105 -34
495 705 -689
814 118 992
409 717 295
599 473 533
758 68 -209
666 292 -594
720 110 577
90 62 -100
571 725 729
659 817 -234
647 781 -399
342 727 -727
201 461 615
216 514 976
535 766 -454
560 115 604
454 732 744
806 247 -411
721 797 133
521 679 -476
412 137 -767
417 331 -244
545 521 -297
690 853 -596
750 732 598
